DayOfWeek,Department,TimeOfDay,PatientInflow
Monday,Pediatrics,Morning,18
Sunday,Emergency,Night,10
Sunday,Neurology,Morning,23
Monday,Pediatrics,Evening,9
Saturday,Emergency,Morning,8
Tuesday,Oncology,Night,20
Sunday,Neurology,Night,8
Friday,Neurology,Evening,18
Saturday,Pediatrics,Morning,28
Sunday,Neurology,Evening,27
Thursday,Emergency,Afternoon,12
Wednesday,Neurology,Morning,10
Friday,Cardiology,Afternoon,5
Wednesday,Emergency,Evening,6
Saturday,Emergency,Afternoon,15
Wednesday,Neurology,Afternoon,8
Thursday,Neurology,Afternoon,5
Sunday,Pediatrics,Morning,19
Sunday,Cardiology,Night,23
Monday,Pediatrics,Evening,6
Tuesday,Neurology,Afternoon,19
Wednesday,Cardiology,Morning,13
Friday,Oncology,Night,25
Thursday,Pediatrics,Evening,5
Thursday,Neurology,Morning,12
Sunday,Emergency,Night,18
Saturday,Emergency,Evening,6
Sunday,Neurology,Evening,8
Friday,Oncology,Night,21
Wednesday,Oncology,Afternoon,26
Wednesday,Cardiology,Evening,19
Wednesday,Emergency,Evening,8
Friday,Oncology,Morning,25
Wednesday,Pediatrics,Afternoon,29
Sunday,Oncology,Afternoon,6
Friday,Pediatrics,Evening,20
Thursday,Emergency,Evening,22
Friday,Pediatrics,Morning,24
Tuesday,Neurology,Evening,18
Monday,Pediatrics,Afternoon,11
Sunday,Neurology,Night,8
Sunday,Oncology,Afternoon,18
Monday,Neurology,Evening,11
Tuesday,Emergency,Afternoon,7
Friday,Emergency,Evening,12
Saturday,Pediatrics,Morning,23
Monday,Emergency,Evening,6
Tuesday,Cardiology,Night,21
Saturday,Pediatrics,Evening,17
Wednesday,Cardiology,Evening,13
Tuesday,Emergency,Night,5
Sunday,Oncology,Afternoon,18
Monday,Oncology,Evening,11
Friday,Emergency,Evening,10
Friday,Oncology,Morning,25
Friday,Oncology,Afternoon,29
Monday,Emergency,Afternoon,17
Wednesday,Emergency,Night,19
Friday,Cardiology,Night,14
Saturday,Neurology,Night,24
Thursday,Cardiology,Evening,5
Wednesday,Pediatrics,Morning,15
Saturday,Pediatrics,Evening,25
Sunday,Oncology,Morning,10
Tuesday,Pediatrics,Afternoon,20
Thursday,Oncology,Night,23
Wednesday,Emergency,Night,27
Monday,Neurology,Night,16
Thursday,Emergency,Night,6
Wednesday,Emergency,Night,16
Wednesday,Emergency,Night,12
Saturday,Oncology,Morning,15
Wednesday,Oncology,Afternoon,18
Wednesday,Neurology,Morning,25
Friday,Emergency,Morning,20
Thursday,Neurology,Night,20
Saturday,Oncology,Night,19
Wednesday,Emergency,Night,19
Tuesday,Neurology,Morning,27
Wednesday,Pediatrics,Evening,11
Sunday,Emergency,Afternoon,22
Saturday,Pediatrics,Morning,12
Friday,Pediatrics,Afternoon,18
Thursday,Cardiology,Evening,22
Thursday,Emergency,Afternoon,21
Sunday,Neurology,Morning,19
Wednesday,Neurology,Evening,24
Wednesday,Neurology,Evening,11
Tuesday,Pediatrics,Morning,28
Thursday,Emergency,Night,8
Thursday,Cardiology,Evening,18
Thursday,Oncology,Evening,22
Monday,Cardiology,Night,18
Sunday,Neurology,Evening,25
Thursday,Cardiology,Evening,13
Sunday,Pediatrics,Evening,9
Sunday,Neurology,Evening,12
Thursday,Cardiology,Evening,16
Tuesday,Cardiology,Afternoon,19
Saturday,Oncology,Morning,21
Tuesday,Neurology,Afternoon,16
Saturday,Oncology,Evening,11
Friday,Neurology,Evening,20
Tuesday,Oncology,Evening,22
Thursday,Cardiology,Night,29
Thursday,Pediatrics,Morning,21
Thursday,Oncology,Morning,27
Tuesday,Neurology,Night,6
Wednesday,Emergency,Morning,6
Saturday,Emergency,Evening,21
Monday,Oncology,Evening,17
Friday,Cardiology,Night,17
Wednesday,Oncology,Evening,9
Monday,Pediatrics,Afternoon,26
Tuesday,Neurology,Afternoon,16
Saturday,Emergency,Afternoon,9
Friday,Neurology,Afternoon,9
Friday,Neurology,Morning,8
Tuesday,Oncology,Afternoon,12
Sunday,Cardiology,Afternoon,22
Saturday,Neurology,Night,11
Wednesday,Cardiology,Afternoon,26
Sunday,Pediatrics,Night,25
Monday,Pediatrics,Evening,6
Thursday,Cardiology,Night,23
Sunday,Oncology,Night,15
Saturday,Oncology,Evening,14
Thursday,Oncology,Night,9
Saturday,Emergency,Afternoon,15
Monday,Pediatrics,Night,18
Thursday,Pediatrics,Morning,25
Wednesday,Neurology,Morning,15
Saturday,Cardiology,Morning,27
Sunday,Emergency,Evening,11
Tuesday,Emergency,Evening,5
Saturday,Neurology,Afternoon,22
Thursday,Cardiology,Night,9
Tuesday,Oncology,Morning,10
Saturday,Neurology,Evening,13
Thursday,Oncology,Morning,20
Thursday,Oncology,Morning,27
Friday,Oncology,Night,22
Thursday,Oncology,Night,23
Friday,Pediatrics,Evening,21
Sunday,Neurology,Morning,18
Sunday,Emergency,Morning,29
Monday,Cardiology,Afternoon,6
Thursday,Pediatrics,Afternoon,21
Saturday,Neurology,Afternoon,14
Sunday,Oncology,Evening,20
Thursday,Pediatrics,Afternoon,13
Thursday,Cardiology,Morning,26
Sunday,Oncology,Morning,13
Friday,Neurology,Evening,12
Thursday,Pediatrics,Afternoon,10
Wednesday,Oncology,Evening,26
Monday,Pediatrics,Night,9
Tuesday,Oncology,Morning,10
Sunday,Oncology,Afternoon,25
Saturday,Oncology,Afternoon,8
Tuesday,Pediatrics,Evening,11
Friday,Emergency,Morning,29
Saturday,Cardiology,Afternoon,27
Monday,Pediatrics,Night,17
Monday,Neurology,Morning,19
Sunday,Cardiology,Morning,24
Tuesday,Cardiology,Evening,29
Friday,Oncology,Afternoon,18
Wednesday,Neurology,Afternoon,8
Monday,Pediatrics,Night,5
Saturday,Oncology,Night,28
Tuesday,Neurology,Afternoon,7
Sunday,Neurology,Afternoon,28
Wednesday,Cardiology,Morning,13
Wednesday,Neurology,Morning,26
Wednesday,Emergency,Morning,12
Sunday,Neurology,Morning,11
Saturday,Emergency,Afternoon,11
Thursday,Oncology,Night,5
Sunday,Pediatrics,Morning,18
Wednesday,Pediatrics,Afternoon,18
Sunday,Emergency,Afternoon,15
Wednesday,Cardiology,Morning,26
Saturday,Pediatrics,Morning,28
Tuesday,Neurology,Morning,17
Friday,Pediatrics,Morning,18
Sunday,Oncology,Evening,26
Sunday,Neurology,Night,18
Thursday,Oncology,Morning,8
Tuesday,Pediatrics,Afternoon,18
Saturday,Cardiology,Afternoon,22
Tuesday,Neurology,Morning,10
Wednesday,Oncology,Night,22
Thursday,Emergency,Morning,17
Friday,Oncology,Night,18
Friday,Emergency,Evening,12
Tuesday,Emergency,Night,9
Thursday,Cardiology,Night,18
Tuesday,Emergency,Evening,22
Saturday,Neurology,Afternoon,24
Tuesday,Pediatrics,Night,9
Friday,Oncology,Morning,12
Friday,Neurology,Afternoon,24
Tuesday,Emergency,Morning,7
Friday,Neurology,Night,17
Saturday,Neurology,Morning,9
Friday,Cardiology,Morning,27
Wednesday,Emergency,Night,22
Wednesday,Neurology,Night,28
Monday,Oncology,Night,13
Saturday,Cardiology,Morning,8
Monday,Neurology,Night,13
Tuesday,Oncology,Morning,17
Tuesday,Oncology,Afternoon,18
Tuesday,Emergency,Night,27
Tuesday,Neurology,Evening,15
Friday,Emergency,Evening,28
Monday,Oncology,Night,20
Sunday,Neurology,Morning,8
Tuesday,Emergency,Morning,23
Wednesday,Emergency,Morning,5
Friday,Pediatrics,Night,8
Monday,Cardiology,Night,26
Saturday,Oncology,Morning,14
Friday,Oncology,Night,20
Thursday,Emergency,Evening,9
Tuesday,Oncology,Morning,23
Wednesday,Oncology,Evening,11
Saturday,Neurology,Morning,18
Monday,Pediatrics,Afternoon,23
Friday,Neurology,Morning,16
Monday,Neurology,Afternoon,13
Thursday,Oncology,Afternoon,22
Wednesday,Oncology,Afternoon,24
Saturday,Oncology,Afternoon,21
Sunday,Neurology,Afternoon,25
Friday,Neurology,Afternoon,22
Saturday,Pediatrics,Evening,18
Thursday,Emergency,Evening,5
Wednesday,Neurology,Night,23
Tuesday,Oncology,Afternoon,10
Monday,Neurology,Afternoon,25
Sunday,Cardiology,Afternoon,14
Thursday,Neurology,Night,25
Saturday,Neurology,Afternoon,12
Saturday,Cardiology,Evening,12
Monday,Pediatrics,Night,12
Monday,Neurology,Night,19
Thursday,Cardiology,Evening,11
Thursday,Cardiology,Evening,13
Friday,Cardiology,Afternoon,20
Wednesday,Pediatrics,Night,11
Sunday,Cardiology,Night,10
Saturday,Emergency,Afternoon,11
Tuesday,Oncology,Afternoon,28
Wednesday,Emergency,Afternoon,27
Saturday,Neurology,Evening,23
Sunday,Pediatrics,Evening,16
Saturday,Pediatrics,Afternoon,13
Sunday,Pediatrics,Evening,12
Tuesday,Neurology,Morning,8
Tuesday,Cardiology,Night,23
Sunday,Neurology,Afternoon,21
Friday,Cardiology,Night,20
Sunday,Cardiology,Night,16
Wednesday,Emergency,Evening,23
Thursday,Cardiology,Evening,9
Monday,Neurology,Afternoon,29
Saturday,Cardiology,Evening,25
Friday,Neurology,Afternoon,6
Friday,Pediatrics,Morning,12
Friday,Emergency,Morning,24
Thursday,Cardiology,Afternoon,16
Saturday,Pediatrics,Afternoon,11
Sunday,Pediatrics,Night,5
Monday,Neurology,Night,10
Tuesday,Pediatrics,Night,18
Saturday,Pediatrics,Morning,12
Thursday,Cardiology,Morning,25
Wednesday,Oncology,Night,24
Wednesday,Cardiology,Night,9
Thursday,Oncology,Morning,26
Friday,Pediatrics,Afternoon,22
Thursday,Oncology,Afternoon,29
Saturday,Pediatrics,Evening,11
Sunday,Cardiology,Morning,16
Monday,Neurology,Morning,26
Saturday,Oncology,Afternoon,24
Tuesday,Emergency,Night,6
Sunday,Neurology,Evening,17
Tuesday,Oncology,Morning,12
Tuesday,Pediatrics,Morning,20
Sunday,Pediatrics,Evening,19
Saturday,Pediatrics,Night,24
Tuesday,Pediatrics,Night,13
Friday,Pediatrics,Morning,9
Saturday,Cardiology,Morning,18
Sunday,Oncology,Afternoon,13
Saturday,Neurology,Night,14
Wednesday,Oncology,Night,23
Wednesday,Oncology,Evening,25
Thursday,Cardiology,Morning,29
Tuesday,Cardiology,Evening,23
Wednesday,Pediatrics,Evening,12
Monday,Pediatrics,Evening,12
Sunday,Oncology,Afternoon,16
Thursday,Cardiology,Afternoon,10
Friday,Neurology,Night,12
Wednesday,Oncology,Morning,29
Tuesday,Cardiology,Afternoon,17
Sunday,Oncology,Night,15
Sunday,Cardiology,Morning,6
Sunday,Oncology,Evening,21
Friday,Neurology,Morning,23
Monday,Cardiology,Evening,7
Monday,Emergency,Morning,22
Monday,Pediatrics,Evening,11
Friday,Cardiology,Night,16
Saturday,Oncology,Evening,26
Wednesday,Pediatrics,Morning,8
Wednesday,Oncology,Morning,24
Saturday,Cardiology,Night,18
Saturday,Oncology,Evening,11
Tuesday,Cardiology,Night,8
Saturday,Cardiology,Morning,5
Friday,Pediatrics,Afternoon,26
Wednesday,Cardiology,Evening,16
Saturday,Neurology,Night,9
Thursday,Emergency,Evening,10
Tuesday,Neurology,Afternoon,17
Wednesday,Cardiology,Morning,27
Thursday,Emergency,Evening,7
Tuesday,Oncology,Morning,22
Monday,Oncology,Afternoon,27
Monday,Neurology,Afternoon,19
Thursday,Pediatrics,Afternoon,28
Monday,Emergency,Night,27
Thursday,Emergency,Evening,28
Tuesday,Pediatrics,Afternoon,27
Wednesday,Oncology,Morning,14
Tuesday,Cardiology,Evening,28
Thursday,Oncology,Morning,19
Sunday,Cardiology,Morning,10
Friday,Oncology,Afternoon,21
Friday,Emergency,Afternoon,11
Sunday,Emergency,Evening,18
Saturday,Cardiology,Afternoon,24
Saturday,Oncology,Evening,14
Saturday,Cardiology,Evening,16
Thursday,Cardiology,Night,26
Monday,Oncology,Afternoon,10
Thursday,Cardiology,Night,8
Saturday,Cardiology,Afternoon,20
Wednesday,Oncology,Morning,15
Tuesday,Neurology,Afternoon,11
Thursday,Neurology,Afternoon,11
Saturday,Pediatrics,Evening,8
Sunday,Neurology,Afternoon,11
Wednesday,Oncology,Evening,26
Friday,Cardiology,Night,18
Thursday,Oncology,Evening,18
Monday,Emergency,Afternoon,28
Saturday,Oncology,Evening,22
Thursday,Neurology,Morning,13
Saturday,Pediatrics,Evening,6
Friday,Cardiology,Afternoon,13
Saturday,Cardiology,Afternoon,6
Saturday,Neurology,Morning,26
Wednesday,Pediatrics,Evening,21
Thursday,Emergency,Night,13
Thursday,Pediatrics,Evening,21
Saturday,Pediatrics,Morning,17
Sunday,Neurology,Evening,12
Monday,Pediatrics,Morning,23
Thursday,Cardiology,Morning,17
Tuesday,Pediatrics,Evening,13
Sunday,Neurology,Evening,5
Sunday,Pediatrics,Night,15
Thursday,Pediatrics,Morning,9
Wednesday,Cardiology,Morning,17
Sunday,Cardiology,Night,6
Tuesday,Neurology,Night,15
Monday,Oncology,Morning,9
Wednesday,Cardiology,Afternoon,15
Monday,Neurology,Afternoon,22
Sunday,Pediatrics,Afternoon,27
Sunday,Cardiology,Evening,21
Sunday,Emergency,Morning,29
Thursday,Neurology,Night,21
Thursday,Emergency,Afternoon,17
Thursday,Cardiology,Morning,23
Friday,Emergency,Afternoon,15
Friday,Oncology,Night,8
Friday,Cardiology,Morning,12
Tuesday,Pediatrics,Night,11
Friday,Neurology,Morning,6
Saturday,Emergency,Afternoon,22
Saturday,Oncology,Evening,14
Thursday,Emergency,Afternoon,15
Thursday,Cardiology,Morning,8
Monday,Emergency,Morning,29
Wednesday,Neurology,Afternoon,12
Wednesday,Emergency,Night,12
Tuesday,Emergency,Afternoon,8
Wednesday,Pediatrics,Evening,22
Sunday,Oncology,Afternoon,22
Tuesday,Emergency,Morning,5
Monday,Pediatrics,Afternoon,9
Thursday,Emergency,Morning,8
Thursday,Emergency,Afternoon,16
Tuesday,Oncology,Morning,20
Friday,Emergency,Afternoon,29
Monday,Oncology,Night,7
Saturday,Emergency,Afternoon,5
Thursday,Oncology,Afternoon,13
Thursday,Emergency,Night,13
Sunday,Oncology,Night,19
Monday,Cardiology,Night,12
Saturday,Emergency,Afternoon,25
Saturday,Pediatrics,Night,6
Tuesday,Emergency,Morning,7
Friday,Emergency,Evening,11
Sunday,Pediatrics,Night,8
Sunday,Emergency,Evening,5
Tuesday,Cardiology,Evening,14
Monday,Pediatrics,Morning,23
Wednesday,Pediatrics,Afternoon,24
Tuesday,Oncology,Morning,26
Wednesday,Oncology,Morning,9
Sunday,Pediatrics,Night,19
Monday,Pediatrics,Afternoon,23
Saturday,Emergency,Afternoon,27
Wednesday,Cardiology,Night,15
Thursday,Oncology,Evening,27
Wednesday,Neurology,Morning,19
Friday,Emergency,Night,11
Friday,Emergency,Evening,17
Sunday,Cardiology,Morning,27
Monday,Oncology,Night,8
Friday,Neurology,Evening,19
Saturday,Oncology,Night,19
Saturday,Oncology,Night,10
Sunday,Cardiology,Evening,18
Wednesday,Emergency,Night,10
Sunday,Cardiology,Afternoon,21
Thursday,Oncology,Evening,29
Monday,Neurology,Night,18
Tuesday,Emergency,Night,29
Thursday,Cardiology,Morning,8
Sunday,Pediatrics,Night,14
Tuesday,Neurology,Morning,23
Monday,Pediatrics,Evening,15
Tuesday,Oncology,Morning,14
Thursday,Neurology,Morning,23
Friday,Neurology,Night,5
Sunday,Emergency,Afternoon,13
Monday,Oncology,Evening,6
Friday,Cardiology,Night,7
Friday,Neurology,Evening,10
Friday,Cardiology,Night,28
Thursday,Oncology,Afternoon,18
Sunday,Oncology,Night,8
Saturday,Pediatrics,Morning,26
Sunday,Cardiology,Morning,25
Wednesday,Cardiology,Night,26
Friday,Emergency,Afternoon,18
Wednesday,Oncology,Afternoon,25
Monday,Oncology,Afternoon,13
Tuesday,Oncology,Night,26
Friday,Oncology,Evening,24
Saturday,Emergency,Night,14
Wednesday,Pediatrics,Night,12
Monday,Oncology,Night,6
Thursday,Neurology,Night,14
Saturday,Pediatrics,Afternoon,27
Sunday,Emergency,Evening,29
Saturday,Pediatrics,Night,15
Monday,Pediatrics,Evening,11
Thursday,Emergency,Afternoon,8
Tuesday,Neurology,Evening,20
Tuesday,Oncology,Night,14
Saturday,Neurology,Evening,21
Wednesday,Oncology,Afternoon,7
Thursday,Emergency,Night,25
Thursday,Cardiology,Afternoon,5
Saturday,Emergency,Evening,15
Tuesday,Pediatrics,Evening,24
Saturday,Oncology,Night,9
Saturday,Emergency,Morning,16
Monday,Neurology,Morning,5
Monday,Cardiology,Morning,21
Wednesday,Neurology,Morning,19
Tuesday,Neurology,Evening,27
Sunday,Pediatrics,Morning,19
Tuesday,Oncology,Night,25
Friday,Oncology,Night,8
Saturday,Emergency,Evening,27
Wednesday,Pediatrics,Night,26
Tuesday,Emergency,Evening,22
Friday,Oncology,Afternoon,22
Thursday,Pediatrics,Night,27
Sunday,Oncology,Morning,10
Saturday,Pediatrics,Night,16
Friday,Cardiology,Morning,10
Tuesday,Cardiology,Afternoon,24
Monday,Oncology,Afternoon,11
Wednesday,Pediatrics,Afternoon,9
Thursday,Emergency,Night,22
Sunday,Cardiology,Morning,25
Saturday,Emergency,Morning,17
Monday,Cardiology,Morning,17
Wednesday,Oncology,Morning,8
Thursday,Emergency,Evening,20
Thursday,Pediatrics,Afternoon,13
Saturday,Cardiology,Night,11
Saturday,Pediatrics,Afternoon,29
Tuesday,Neurology,Afternoon,7
Friday,Emergency,Night,22
Saturday,Cardiology,Afternoon,11
Monday,Pediatrics,Morning,28
Saturday,Oncology,Evening,8
Friday,Neurology,Evening,19
Tuesday,Neurology,Night,28
Tuesday,Pediatrics,Morning,11
Monday,Emergency,Night,9
Sunday,Oncology,Evening,20
Thursday,Pediatrics,Morning,19
Wednesday,Pediatrics,Morning,29
Sunday,Pediatrics,Afternoon,7
Thursday,Pediatrics,Morning,11
Friday,Pediatrics,Evening,15
Sunday,Pediatrics,Night,20
Saturday,Oncology,Evening,11
Monday,Oncology,Night,21
Sunday,Pediatrics,Evening,25
Tuesday,Oncology,Afternoon,29
Saturday,Cardiology,Evening,13
Thursday,Cardiology,Night,21
Monday,Neurology,Morning,29
Wednesday,Cardiology,Evening,24
Saturday,Neurology,Afternoon,14
Sunday,Oncology,Evening,29
Tuesday,Pediatrics,Evening,27
Thursday,Pediatrics,Afternoon,16
Tuesday,Cardiology,Morning,16
Friday,Oncology,Evening,15
Wednesday,Emergency,Afternoon,5
Saturday,Pediatrics,Afternoon,17
Wednesday,Oncology,Night,16
Wednesday,Pediatrics,Afternoon,24
Sunday,Cardiology,Evening,13
Friday,Emergency,Morning,12
Thursday,Pediatrics,Night,13
Saturday,Oncology,Morning,12
Thursday,Neurology,Afternoon,6
Sunday,Pediatrics,Morning,16
Thursday,Neurology,Night,9
Thursday,Oncology,Evening,24
Thursday,Pediatrics,Afternoon,20
Monday,Emergency,Evening,27
Sunday,Cardiology,Night,26
Friday,Cardiology,Night,15
Wednesday,Oncology,Night,9
Thursday,Emergency,Afternoon,27
Thursday,Emergency,Afternoon,23
Wednesday,Cardiology,Morning,16
Wednesday,Neurology,Evening,28
Monday,Oncology,Morning,28
Friday,Emergency,Night,8
Tuesday,Pediatrics,Evening,25
Saturday,Oncology,Night,23
Monday,Cardiology,Afternoon,23
Tuesday,Pediatrics,Morning,24
Monday,Oncology,Afternoon,20
Friday,Oncology,Afternoon,12
Friday,Neurology,Afternoon,9
Tuesday,Pediatrics,Afternoon,22
Sunday,Cardiology,Night,14
Thursday,Oncology,Morning,11
Saturday,Neurology,Morning,16
Thursday,Cardiology,Night,20
Thursday,Pediatrics,Night,24
Sunday,Cardiology,Afternoon,20
Tuesday,Pediatrics,Afternoon,22
Thursday,Cardiology,Afternoon,27
Wednesday,Pediatrics,Afternoon,13
Wednesday,Oncology,Morning,6
Friday,Pediatrics,Evening,19
Tuesday,Cardiology,Morning,14
Thursday,Emergency,Night,26
Wednesday,Cardiology,Afternoon,8
Thursday,Cardiology,Afternoon,10
Saturday,Cardiology,Night,19
Monday,Emergency,Afternoon,18
Thursday,Cardiology,Night,26
Friday,Cardiology,Morning,23
Sunday,Oncology,Morning,10
Monday,Neurology,Night,14
Tuesday,Emergency,Night,10
Thursday,Emergency,Night,12
Thursday,Cardiology,Evening,15
Monday,Emergency,Night,27
Friday,Emergency,Morning,10
Friday,Pediatrics,Night,9
Friday,Neurology,Afternoon,6
Saturday,Emergency,Night,13
Tuesday,Neurology,Afternoon,15
Sunday,Emergency,Night,17
Monday,Oncology,Afternoon,27
Sunday,Neurology,Evening,25
Wednesday,Pediatrics,Morning,10
Tuesday,Emergency,Afternoon,20
Friday,Cardiology,Morning,20
Friday,Emergency,Afternoon,21
Thursday,Emergency,Afternoon,9
Saturday,Emergency,Night,26
Saturday,Neurology,Afternoon,19
Tuesday,Emergency,Evening,20
Monday,Neurology,Afternoon,22
Sunday,Pediatrics,Evening,14
Sunday,Oncology,Night,25
Friday,Oncology,Morning,5
Wednesday,Oncology,Morning,21
Thursday,Emergency,Night,11
Monday,Neurology,Evening,27
Monday,Oncology,Morning,5
Saturday,Pediatrics,Morning,20
Monday,Oncology,Night,11
Saturday,Emergency,Afternoon,9
Saturday,Cardiology,Night,18
Sunday,Oncology,Afternoon,20
Saturday,Emergency,Morning,12
Thursday,Emergency,Evening,9
Wednesday,Cardiology,Night,12
Friday,Oncology,Evening,29
Thursday,Oncology,Morning,6
Thursday,Pediatrics,Afternoon,11
Wednesday,Emergency,Morning,27
Sunday,Oncology,Morning,8
Sunday,Oncology,Morning,11
Monday,Neurology,Morning,14
Friday,Cardiology,Night,14
Tuesday,Pediatrics,Morning,5
Monday,Cardiology,Evening,5
Saturday,Neurology,Afternoon,18
Monday,Neurology,Evening,17
Wednesday,Neurology,Night,10
Tuesday,Oncology,Morning,15
Friday,Cardiology,Afternoon,27
Friday,Cardiology,Evening,13
Friday,Emergency,Morning,10
Wednesday,Oncology,Morning,22
Saturday,Pediatrics,Morning,24
Tuesday,Pediatrics,Evening,29
Tuesday,Emergency,Morning,23
Monday,Neurology,Morning,25
Saturday,Oncology,Night,19
Thursday,Cardiology,Evening,27
Tuesday,Emergency,Afternoon,27
Friday,Cardiology,Evening,18
Friday,Cardiology,Evening,11
Thursday,Cardiology,Afternoon,13
Thursday,Neurology,Afternoon,15
Monday,Pediatrics,Morning,21
Monday,Neurology,Morning,10
Sunday,Neurology,Night,21
Wednesday,Pediatrics,Morning,13
Saturday,Pediatrics,Morning,15
Sunday,Emergency,Morning,6
Friday,Neurology,Morning,11
Wednesday,Oncology,Morning,17
Friday,Cardiology,Morning,5
Wednesday,Oncology,Afternoon,9
Monday,Oncology,Morning,10
Tuesday,Oncology,Morning,7
Saturday,Pediatrics,Night,16
Sunday,Emergency,Evening,10
Thursday,Neurology,Night,23
Friday,Pediatrics,Evening,12
Saturday,Emergency,Afternoon,14
Monday,Emergency,Morning,7
Sunday,Emergency,Morning,24
Monday,Emergency,Afternoon,18
Monday,Cardiology,Evening,27
Wednesday,Cardiology,Night,24
Saturday,Pediatrics,Evening,8
Thursday,Neurology,Evening,24
Sunday,Neurology,Morning,23
Monday,Pediatrics,Morning,20
Wednesday,Neurology,Morning,15
Sunday,Pediatrics,Afternoon,25
Monday,Neurology,Night,20
Wednesday,Oncology,Afternoon,26
Saturday,Cardiology,Morning,22
Tuesday,Pediatrics,Morning,24
Wednesday,Emergency,Afternoon,25
Friday,Neurology,Night,8
Thursday,Pediatrics,Afternoon,22
Wednesday,Oncology,Evening,15
Thursday,Oncology,Evening,18
Wednesday,Cardiology,Evening,12
Thursday,Pediatrics,Evening,17
Saturday,Pediatrics,Afternoon,18
Tuesday,Neurology,Morning,25
Friday,Emergency,Evening,26
Friday,Oncology,Morning,23
Friday,Emergency,Evening,10
Sunday,Oncology,Night,25
Sunday,Neurology,Morning,18
Wednesday,Cardiology,Morning,11
Sunday,Pediatrics,Afternoon,9
Friday,Oncology,Evening,18
Monday,Oncology,Night,8
Monday,Pediatrics,Night,26
Sunday,Cardiology,Night,11
Sunday,Oncology,Evening,11
Friday,Emergency,Morning,14
Saturday,Neurology,Evening,11
Friday,Cardiology,Afternoon,13
Wednesday,Emergency,Evening,25
Sunday,Oncology,Night,21
Friday,Cardiology,Night,24
Thursday,Pediatrics,Afternoon,5
Saturday,Cardiology,Night,18
Tuesday,Oncology,Afternoon,12
Wednesday,Neurology,Afternoon,16
Wednesday,Emergency,Morning,10
Sunday,Pediatrics,Afternoon,27
Monday,Cardiology,Morning,19
Wednesday,Neurology,Evening,11
Wednesday,Neurology,Night,17
Sunday,Emergency,Afternoon,18
Tuesday,Cardiology,Evening,18
Saturday,Cardiology,Morning,20
Thursday,Emergency,Morning,20
Sunday,Neurology,Afternoon,27
Tuesday,Cardiology,Morning,8
Saturday,Pediatrics,Evening,27
Saturday,Oncology,Night,23
Saturday,Cardiology,Afternoon,14
Thursday,Pediatrics,Evening,16
Monday,Neurology,Night,25
Saturday,Emergency,Evening,15
Tuesday,Pediatrics,Night,22
Tuesday,Pediatrics,Evening,19
Tuesday,Cardiology,Night,10
Friday,Emergency,Night,24
Friday,Emergency,Night,29
Sunday,Pediatrics,Evening,26
Saturday,Pediatrics,Afternoon,14
Tuesday,Neurology,Morning,7
Wednesday,Cardiology,Evening,17
Monday,Emergency,Night,12
Wednesday,Oncology,Night,15
Monday,Pediatrics,Night,29
Sunday,Oncology,Afternoon,10
Sunday,Pediatrics,Evening,12
Saturday,Emergency,Morning,13
Sunday,Cardiology,Evening,28
Monday,Oncology,Morning,18
Friday,Neurology,Afternoon,7
Sunday,Emergency,Morning,17
Monday,Oncology,Morning,7
Sunday,Pediatrics,Evening,23
Tuesday,Cardiology,Morning,23
Tuesday,Pediatrics,Morning,22
Saturday,Cardiology,Night,29
Saturday,Pediatrics,Morning,12
Sunday,Oncology,Afternoon,8
Monday,Neurology,Morning,17
Sunday,Pediatrics,Morning,15
Friday,Oncology,Morning,25
Wednesday,Oncology,Afternoon,6
Friday,Pediatrics,Afternoon,12
Friday,Neurology,Night,27
Wednesday,Cardiology,Morning,20
Tuesday,Oncology,Evening,9
Sunday,Oncology,Evening,17
Saturday,Oncology,Night,12
Sunday,Oncology,Afternoon,12
Thursday,Pediatrics,Morning,24
Friday,Cardiology,Night,23
Tuesday,Pediatrics,Evening,15
Monday,Neurology,Afternoon,17
Friday,Cardiology,Morning,9
Friday,Emergency,Morning,15
Sunday,Neurology,Night,28
Monday,Pediatrics,Morning,18
Thursday,Oncology,Evening,29
Thursday,Pediatrics,Morning,28
Wednesday,Pediatrics,Afternoon,17
Saturday,Pediatrics,Evening,15
Monday,Neurology,Afternoon,26
Tuesday,Emergency,Night,15
Tuesday,Oncology,Morning,13
Thursday,Oncology,Evening,23
Wednesday,Pediatrics,Afternoon,11
Saturday,Pediatrics,Night,25
Wednesday,Pediatrics,Morning,17
Sunday,Pediatrics,Evening,9
Tuesday,Neurology,Evening,12
Saturday,Neurology,Night,21
Saturday,Cardiology,Evening,6
Sunday,Cardiology,Morning,16
Wednesday,Neurology,Night,5
Saturday,Pediatrics,Evening,7
Thursday,Oncology,Evening,28
Thursday,Neurology,Evening,15
Wednesday,Neurology,Evening,29
Thursday,Cardiology,Evening,13
Saturday,Emergency,Afternoon,20
Sunday,Oncology,Evening,14
Thursday,Oncology,Morning,13
Wednesday,Emergency,Night,28
Thursday,Cardiology,Evening,8
Monday,Oncology,Evening,15
Thursday,Cardiology,Afternoon,10
Friday,Cardiology,Afternoon,18
Tuesday,Pediatrics,Morning,19
Monday,Emergency,Morning,26
Wednesday,Emergency,Morning,5
Tuesday,Pediatrics,Night,8
Friday,Cardiology,Night,11
Tuesday,Cardiology,Afternoon,17
Thursday,Oncology,Afternoon,29
Tuesday,Emergency,Afternoon,26
Wednesday,Oncology,Afternoon,20
